FileName,Sample,Site,Group,IndivNames,Indiv,Type,Gland,Sex,Age,Repro,Peak,RT,Purity,Amount,Area
WI1_MI4_LPLc,WI02,Wild,Group1,MI4_LPL,Grp1_Fem2,Body,Body,Female,Adult,Reproductive,P21,13.2003,95%,2.54%,217277089
WI1_MI4_LPRc,WI03,Wild,Group1,MI4_LPR,Grp1_Fem3,Body,Body,Female,Adult,Reproductive,P21,13.2145,94%,1.13%,76891163
WI3_MI4_LRCc,WI17,Wild,Group1,MI4_LRC,Grp1_Fem4,Body,Body,Female,Adult,Reproductive,P21,13.2339,93%,0.25%,45458952
WI1_MI4_LBYc,WI01,Wild,Group1,MI4_LBY,Grp1_Male1,Body,Body,Male,Adult,Reproductive,P21,13.2013,92%,25.40%,2252657974
WI1_T8_BlPYc,WI06,Wild,Group2,T8_BlPY,Grp2_Fem1,Body,Body,Female,Adult,Reproductive,P21,13.1833,100%,6.16%,407484670
WI1_T8_BlBRc,WI05,Wild,Group2,T8_BlBR,Grp2_Male1,Body,Body,Male,Adult,Reproductive,P21,13.2042,96%,2.58%,208868728
WI4_T8_YBSc,WI26,Wild,Group2,T8_YBS,Grp2_Male2,Body,Body,Male,Adult,Reproductive,P21,13.1999,97%,6.25%,407335353
WI3_MI4_LPGc,WI15,Wild,Group1,MI4_LPG,Grp1_Fem1,Body,Body,Female,Subadult,Non-reproductive,P22,13.4315,88%,0.72%,85605117
WI1_MI4_LPLc,WI02,Wild,Group1,MI4_LPL,Grp1_Fem2,Body,Body,Female,Adult,Reproductive,P22,13.4185,93%,2.96%,253170884
WI1_MI4_LPRc,WI03,Wild,Group1,MI4_LPR,Grp1_Fem3,Body,Body,Female,Adult,Reproductive,P22,13.4199,95%,1.62%,110264441
WI3_MI4_LRCc,WI17,Wild,Group1,MI4_LRC,Grp1_Fem4,Body,Body,Female,Adult,Reproductive,P22,13.4206,94%,1.26%,228264222
WI1_MI4_LBYc,WI01,Wild,Group1,MI4_LBY,Grp1_Male1,Body,Body,Male,Adult,Reproductive,P22,13.4209,90%,2.93%,259671540
WI1_T8_BlPYc,WI06,Wild,Group2,T8_BlPY,Grp2_Fem1,Body,Body,Female,Adult,Reproductive,P22,13.4259,85%,1.08%,72003670
WI1_T8_BlBRc,WI05,Wild,Group2,T8_BlBR,Grp2_Male1,Body,Body,Male,Adult,Reproductive,P22,13.4301,93%,1.79%,146277159
WI4_T8_YBSc,WI26,Wild,Group2,T8_YBS,Grp2_Male2,Body,Body,Male,Adult,Reproductive,P22,13.4297,83%,1.45%,94607185
WI3_MI4_LPGc,WI15,Wild,Group1,MI4_LPG,Grp1_Fem1,Body,Body,Female,Subadult,Non-reproductive,P24,14.231,95%,0.24%,27846025
WI1_MI4_LPRc,WI03,Wild,Group1,MI4_LPR,Grp1_Fem3,Body,Body,Female,Adult,Reproductive,P24,14.2279,93%,0.16%,11156337
WI1_MI4_LBYc,WI01,Wild,Group1,MI4_LBY,Grp1_Male1,Body,Body,Male,Adult,Reproductive,P24,14.224,88%,0.68%,60265456
WI1_T8_BlPYc,WI06,Wild,Group2,T8_BlPY,Grp2_Fem1,Body,Body,Female,Adult,Reproductive,P24,14.2236,85%,0.24%,15901894
WI1_T8_BlBRc,WI05,Wild,Group2,T8_BlBR,Grp2_Male1,Body,Body,Male,Adult,Reproductive,P24,14.2346,86%,0.14%,11668169
WI4_T8_YBSc,WI26,Wild,Group2,T8_YBS,Grp2_Male2,Body,Body,Male,Adult,Reproductive,P24,14.2303,85%,0.16%,10430537
WI4_T8_YBSc,WI26,Wild,Group2,T8_YBS,Grp2_Male2,Body,Body,Male,Adult,Reproductive,P26,14.4817,75%,0.12%,7970625
WI1_MI4_LBYc,WI01,Wild,Group1,MI4_LBY,Grp1_Male1,Body,Body,Male,Adult,Reproductive,P28,14.7126,68%,0.17%,14705000
WI4_T8_YBSc,WI26,Wild,Group2,T8_YBS,Grp2_Male2,Body,Body,Male,Adult,Reproductive,P28,14.7157,62%,0.19%,12387077
WI4_T8_YBSc,WI26,Wild,Group2,T8_YBS,Grp2_Male2,Body,Body,Male,Adult,Reproductive,P29,14.7927,76%,0.12%,2718526
WI1_MI4_LPLc,WI02,Wild,Group1,MI4_LPL,Grp1_Fem2,Body,Body,Female,Adult,Reproductive,P30,14.8654,88%,0.10%,8913464
WI1_MI4_LBYc,WI01,Wild,Group1,MI4_LBY,Grp1_Male1,Body,Body,Male,Adult,Reproductive,P30,14.8667,78%,0.15%,13409268
WI4_T8_YBSc,WI26,Wild,Group2,T8_YBS,Grp2_Male2,Body,Body,Male,Adult,Reproductive,P30,14.8714,84%,0.17%,11059929
WI1_MI4_LBYc,WI01,Wild,Group1,MI4_LBY,Grp1_Male1,Body,Body,Male,Adult,Reproductive,P31,14.9071,72%,0.14%,13898819
WI4_T8_YBSc,WI26,Wild,Group2,T8_YBS,Grp2_Male2,Body,Body,Male,Adult,Reproductive,P31,14.9208,71%,0.14%,9095991
WI1_MI4_LPLc,WI02,Wild,Group1,MI4_LPL,Grp1_Fem2,Body,Body,Female,Adult,Reproductive,P32,15.0211,71%,0.16%,13354297
WI1_MI4_LBYc,WI01,Wild,Group1,MI4_LBY,Grp1_Male1,Body,Body,Male,Adult,Reproductive,P32,15.014,68%,0.21%,18459409
WI1_T8_BlPYc,WI06,Wild,Group2,T8_BlPY,Grp2_Fem1,Body,Body,Female,Adult,Reproductive,P32,14.9978,71%,0.11%,7227447
WI1_T8_BlBRc,WI05,Wild,Group2,T8_BlBR,Grp2_Male1,Body,Body,Male,Adult,Reproductive,P32,15.031,79%,0.12%,8909954
WI4_T8_YBSc,WI26,Wild,Group2,T8_YBS,Grp2_Male2,Body,Body,Male,Adult,Reproductive,P32,15.0123,74%,0.25%,16136283
WI1_MI4_LBYc,WI01,Wild,Group1,MI4_LBY,Grp1_Male1,Body,Body,Male,Adult,Reproductive,P33,15.0948,82%,0.13%,11135417
WI4_T8_YBSc,WI26,Wild,Group2,T8_YBS,Grp2_Male2,Body,Body,Male,Adult,Reproductive,P33,15.1005,80%,0.11%,6881792
WI3_MI4_LPGc,WI15,Wild,Group1,MI4_LPG,Grp1_Fem1,Body,Body,Female,Subadult,Non-reproductive,P34,15.2074,91%,0.33%,31988604
WI1_T8_BlPYc,WI06,Wild,Group2,T8_BlPY,Grp2_Fem1,Body,Body,Female,Adult,Reproductive,P34,15.2032,88%,0.20%,13425945
WI1_T8_BlBRc,WI05,Wild,Group2,T8_BlBR,Grp2_Male1,Body,Body,Male,Adult,Reproductive,P34,15.212,89%,0.02%,1756008
WI4_T8_YBSc,WI26,Wild,Group2,T8_YBS,Grp2_Male2,Body,Body,Male,Adult,Reproductive,P34,15.2057,91%,0.40%,26314712
WI1_MI4_LBYc,WI01,Wild,Group1,MI4_LBY,Grp1_Male1,Body,Body,Male,Adult,Reproductive,P41,16.2237,89%,0.25%,22499930
WI1_T8_BlPYc,WI06,Wild,Group2,T8_BlPY,Grp2_Fem1,Body,Body,Female,Adult,Reproductive,P43,16.4225,89%,0.16%,10759340
WI1_T8_BlBRc,WI05,Wild,Group2,T8_BlBR,Grp2_Male1,Body,Body,Male,Adult,Reproductive,P43,16.4295,90%,0.11%,9461997
