FileName,Sample,Site,Group,IndivNames,Indiv,Type,Gland,Sex,Age,Repro,Peak,RT,Purity,Amount,Area
WI4_T8_BlPYsp,WI25,Wild,Group2,T8_BlPY,Grp2_Fem1,Gland,Gsp,Female,Adult,Reproductive,P11,9.5503,96%,2.05%,102183252
WI4_T8_BlBRsp,WI24,Wild,Group2,T8_BlBR,Grp2_Male1,Gland,Gsp,Male,Adult,Reproductive,P11,9.5718,95%,0.81%,50166270
WI4_T8_YBSsp,WI27,Wild,Group2,T8_YBS,Grp2_Male2,Gland,Gsp,Male,Adult,Reproductive,P11,9.5294,97%,3.09%,269191752
WI2_MI4_LPRsp,WI12,Wild,Group1,MI4_LPR,Grp1_Fem3,Gland,Gsp,Female,Adult,Reproductive,P15,11.7583,94%,0.96%,70827872
WI4_MI4_LPGsp,WI22,Wild,Group1,MI4_LPG,Grp1_Fem1,Gland,Gsp,Female,Subadult,Non-reproductive,P16,11.9429,95%,1.02%,75331039
WI2_MI4_LPLsp,WI10,Wild,Group1,MI4_LPL,Grp1_Fem2,Gland,Gsp,Female,Adult,Reproductive,P16,11.9376,95%,2.41%,191922216
WI2_MI4_LPRsp,WI12,Wild,Group1,MI4_LPR,Grp1_Fem3,Gland,Gsp,Female,Adult,Reproductive,P16,11.9369,93%,1.22%,89414720
WI4_T8_BlPYsp,WI25,Wild,Group2,T8_BlPY,Grp2_Fem1,Gland,Gsp,Female,Adult,Reproductive,P16,11.9507,99%,2.85%,141577256
WI4_T8_BlBRsp,WI24,Wild,Group2,T8_BlBR,Grp2_Male1,Gland,Gsp,Male,Adult,Reproductive,P16,11.9433,95%,1.43%,83586919
WI4_T8_YBSsp,WI27,Wild,Group2,T8_YBS,Grp2_Male2,Gland,Gsp,Male,Adult,Reproductive,P16,11.9436,94%,1.22%,106769039
WI2_MI4_LPRsp,WI12,Wild,Group1,MI4_LPR,Grp1_Fem3,Gland,Gsp,Female,Adult,Reproductive,P17,12.0474,79%,0.13%,9366275
WI4_MI4_LPGsp,WI22,Wild,Group1,MI4_LPG,Grp1_Fem1,Gland,Gsp,Female,Subadult,Non-reproductive,P18,12.0809,88%,0.18%,13551310
WI2_MI4_LPLsp,WI10,Wild,Group1,MI4_LPL,Grp1_Fem2,Gland,Gsp,Female,Adult,Reproductive,P18,12.0524,86%,0.14%,9469447
WI2_MI4_LPRsp,WI12,Wild,Group1,MI4_LPR,Grp1_Fem3,Gland,Gsp,Female,Adult,Reproductive,P18,12.2081,86%,0.54%,38753820
WI3_MI4_LRCsp,WI18,Wild,Group1,MI4_LRC,Grp1_Fem4,Gland,Gsp,Female,Adult,Reproductive,P18,12.053,83%,0.23%,7733468
WI4_T8_BlPYsp,WI25,Wild,Group2,T8_BlPY,Grp2_Fem1,Gland,Gsp,Female,Adult,Reproductive,P18,12.0799,89%,0.31%,16749477
